repo,training_set,validation_set,test_set,valiadation_accuracy,test_accuracy,max_depth,min_samples_split,n_estimators,test_False_precision,test_False_recall,test_False_f1-score,test_False_support,test_True_precision,test_True_recall,test_True_f1-score,test_True_support,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_macro avg_support,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,test_weighted avg_support,validation_False_precision,validation_False_recall,validation_False_f1-score,validation_False_support,validation_True_precision,validation_True_recall,validation_True_f1-score,validation_True_support,validation_macro avg_precision,validation_macro avg_recall,validation_macro avg_f1-score,validation_macro avg_support,validation_weighted avg_precision,validation_weighted avg_recall,validation_weighted avg_f1-score,validation_weighted avg_support
airflow,19830,420,414,0.6381,0.6135,10,2,100,0.9004,0.626,0.7386,361.0,0.1718,0.5283,0.2593,53.0,0.5361,0.5772,0.4989,414.0,0.8071,0.6135,0.6772,414.0,0.9042,0.6501,0.7564,363.0,0.2013,0.5614,0.2963,57.0,0.5527,0.6058,0.5264,420.0,0.8088,0.6381,0.694,420.0
cpython,19830,233,240,0.6438,0.5792,10,2,100,0.9091,0.5963,0.7202,218.0,0.0928,0.4091,0.1513,22.0,0.5009,0.5027,0.4357,240.0,0.8343,0.5792,0.6681,240.0,0.9214,0.6418,0.7566,201.0,0.2258,0.6562,0.336,32.0,0.5736,0.649,0.5463,233.0,0.8259,0.6438,0.6988,233.0
scikit-learn,19830,208,167,0.6346,0.5689,10,2,100,0.878,0.5373,0.6667,134.0,0.2706,0.697,0.3898,33.0,0.5743,0.6171,0.5282,167.0,0.758,0.5689,0.612,167.0,0.916,0.6229,0.7415,175.0,0.2584,0.697,0.377,33.0,0.5872,0.6599,0.5593,208.0,0.8116,0.6346,0.6837,208.0
celery,19830,159,151,0.6164,0.6358,10,2,100,0.9574,0.6383,0.766,141.0,0.1053,0.6,0.1791,10.0,0.5314,0.6191,0.4725,151.0,0.901,0.6358,0.7271,151.0,0.9184,0.6294,0.7469,143.0,0.1311,0.5,0.2078,16.0,0.5248,0.5647,0.4773,159.0,0.8392,0.6164,0.6926,159.0
