repo,training_set,validation_set,test_set,valiadation_accuracy,test accuracy,max_depth,min_samples_split,n_estimators,test_False_precision,test_False_recall,test_False_f1-score,test_False_support,test_True_precision,test_True_recall,test_True_f1-score,test_True_support,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_macro avg_support,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,test_weighted avg_support,validation_False_precision,validation_False_recall,validation_False_f1-score,validation_False_support,validation_True_precision,validation_True_recall,validation_True_f1-score,validation_True_support,validation_macro avg_precision,validation_macro avg_recall,validation_macro avg_f1-score,validation_macro avg_support,validation_weighted avg_precision,validation_weighted avg_recall,validation_weighted avg_f1-score,validation_weighted avg_support
airflow,9013,420,414,0.6071,0.5121,20,2,200,0.9036,0.4931,0.638,361.0,0.1567,0.6415,0.2519,53.0,0.5301,0.5673,0.4449,414.0,0.8079,0.5121,0.5886,414.0,0.9036,0.4931,0.638,361.0,0.1567,0.6415,0.2519,53.0,0.5301,0.5673,0.4449,414.0,0.8079,0.5121,0.5886,414.0
cpython,4245,233,240,0.6009,0.8,5,10,100,0.9048,0.8716,0.8879,218.0,0.0667,0.0909,0.0769,22.0,0.4857,0.4812,0.4824,240.0,0.8279,0.8,0.8135,240.0,0.9048,0.8716,0.8879,218.0,0.0667,0.0909,0.0769,22.0,0.4857,0.4812,0.4824,240.0,0.8279,0.8,0.8135,240.0
scikit-learn,4170,208,167,0.4952,0.3892,10,5,50,0.881,0.2761,0.4205,134.0,0.224,0.8485,0.3544,33.0,0.5525,0.5623,0.3874,167.0,0.7511,0.3892,0.4074,167.0,0.881,0.2761,0.4205,134.0,0.224,0.8485,0.3544,33.0,0.5525,0.5623,0.3874,167.0,0.7511,0.3892,0.4074,167.0
celery,2402,159,151,0.7547,0.9139,5,10,50,0.9444,0.9645,0.9544,141.0,0.2857,0.2,0.2353,10.0,0.6151,0.5823,0.5948,151.0,0.9008,0.9139,0.9068,151.0,0.9444,0.9645,0.9544,141.0,0.2857,0.2,0.2353,10.0,0.6151,0.5823,0.5948,151.0,0.9008,0.9139,0.9068,151.0
